"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
2.27834966685865e-17,0.685848384750415,0.597,0.326,7.03326542159265e-13,"12","CHKA"
2.62145536198216e-17,1.18990592626308,0.34,0.152,8.09243270243892e-13,"12","SLC12A7"
2.62849273246987e-17,0.473468267807206,0.867,0.612,8.11415706513449e-13,"12","CAPZB"
2.66174656576441e-17,0.384586191449448,0.425,0.199,8.21681164851473e-13,"12","IL17RA"
2.68394135455406e-17,0.550493653053938,0.457,0.221,8.28532696150837e-13,"12","CARD19"
2.73167917797434e-17,0.440553969447916,0.603,0.318,8.4326936224068e-13,"12","USF2"
2.73666086831257e-17,0.870162069586563,0.305,0.13,8.4480721004809e-13,"12","KIAA2013"
2.75079898564897e-17,0.494483853143223,0.495,0.255,8.49171646869837e-13,"12","PHLDA2"
2.87696538395127e-17,0.67396467114964,0.327,0.144,8.88119214025757e-13,"12","FEM1B"
2.884602498266e-17,0.923045864585746,0.337,0.153,8.90476791214716e-13,"12","MYD88"
3.01981869594752e-17,0.635015782524168,0.66,0.378,9.32218031439001e-13,"12","LAMTOR1"
3.02832375175056e-17,0.490194132053221,0.93,0.811,9.34843542165399e-13,"12","PFN1"
3.21026150807986e-17,0.404103677505753,0.422,0.199,9.91007727544252e-13,"12","HTATIP2"
3.22777779532335e-17,0.452891614729195,0.463,0.227,9.96415005416319e-13,"12","DUSP23"
3.23669694784503e-17,0.693557647797729,0.346,0.156,9.99168347799761e-13,"12","AGO4"
3.24049701805488e-17,0.719357088207635,0.397,0.186,1.00034142947354e-12,"12","OXA1L"
